role,name,affiliation
"Conference Chairs","Pedro Cruz","Northeastern University"
"Conference Chairs","Sarah Williams","Massachusetts Institute of Technology"
"Program Chairs","Catherine D’Ignazio","Massachusetts Institute of Technology"
"Program Chairs","Crystal Lee","Massachusetts Institute of Technology"
"Program Chairs","Arvind Satyanarayan","Massachusetts Institute of Technology"
"Program Chairs","Skye Morét","Northeastern University"
"Workshop & Activity Chairs","Rahul Bhargava","Northeastern University"
"Workshop & Activity Chairs","Laura Perovich","Northeastern University"
"Exhibition Chairs","Exhibition Chairs","Massachusetts Institute of Technology"
"Exhibition Chairs","Kate Terrado","Northeastern University"
"Design Chairs","Brockett Horne","Boston University"
"Design Chairs","Todd Linkner","Northeastern University"
"Student Chairs","Areti Kotsoni","Massachusetts Institute of Technology"
"Student Chairs","Jane Adams","Northeastern University"
"Supporters Chairs","Paolo Ciuccarelli","Northeastern University"
"Supporters Chairs","John Ochsendorf","Massachusetts Institute of Technology"
"Diversity Scholarship Chairs","Eric Robsky Huntley","Massachusetts Institute of Technology"
"Diversity Scholarship Chairs","Barbara Castro","ESDI-UERJ"
"Program Committee","Alice Thudt","Freelance Data Visualization Designer"
"Program Committee","Amanda Makulec",""
"Program Committee","Andrew McNutt","University of Utah"
"Program Committee","Ángeles Briones",""
"Program Committee","Arjun Srinivasan","Tableau Research"
"Program Committee","Catarina Maçãs","University of Coimbra, CISUC/LASI, DEI"
"Program Committee","Dario Rodighiero","University of Groningen"
"Program Committee","Dina Benbrahim","University of Connecticut"
"Program Committee","Dominikus Baur","University of Applied Sciences Munich"
"Program Committee","Doris Kosminsky","Universidade Federal do Rio de Janeiro"
"Program Committee","Dylan Wootton","MIT"
"Program Committee","Elijah Meeks","Data Visualization Society"
"Program Committee","Eric Kindel","University of Reading"
"Program Committee","Eric Robsky Huntley","MIT Department of Urban Studies and Planning"
"Program Committee","Fearn Bishop","British Broadcasting Corporation"
"Program Committee","Georgia Panagiotidou","King's College London"
"Program Committee","Grace Guo","Harvard University"
"Program Committee","Gregor Aisch","DIE ZEIT / Datawrapper"
"Program Committee","Heather Corcoran","Washington University in St. Louis"
"Program Committee","Isabel Meirelles","OCAD University"
"Program Committee","Jagoda Walny",""
"Program Committee","Jan Willem Tulp","TULP interactive"
"Program Committee","Jen Christiansen","Scientific American"
"Program Committee","Jessica Bellamy","People United for Social Housing Louisville (PUSH Louisville)"
"Program Committee","Ji Won Chung","Brown University"
"Program Committee","Jonathan Schwabish","Urban Institute"
"Program Committee","Joseph Hilleary","Massachusetts Bay Transportation Authority"
"Program Committee","KJ Hepworth","University of South Australia"
"Program Committee","Karel van der Waarde","HSLU Lucerne, Switzerland + Graphic Design - Research, Elewijt, Belgium"
"Program Committee","Karen Cheng","University of Washington"
"Program Committee","Katherine Gillieson","Emily Carr University of Art + Design"
"Program Committee","Kim Albrecht","Folkwang University of the Arts, metaLAB @ Harvard & Berlin"
"Program Committee","Lachlan Kermode","Brown University"
"Program Committee","Lane Harrison","WPI"
"Program Committee","Lisa Charlotte Muth","Datawrapper"
"Program Committee","Luiz Ludwig","Pontifical Catholic University of Rio de Janeiro"
"Program Committee","Maarten Lambrechts","Development Data Group, World Bank"
"Program Committee","Manuela Garreton","Pontificia Universidad Católica de Chile"
"Program Committee","Marian Dörk","UCLAB / FH Potsdam"
"Program Committee","Matteo Moretti","University of Sassari"
"Program Committee","Matthew Blanco","New York University"
"Program Committee","Melissa 青 Teng",""
"Program Committee","Michael Correll","Northeastern University"
"Program Committee","Moritz Stefaner","Truth & Beauty"
"Program Committee","Mushon Zer-Aviv","Shenkar College"
"Program Committee","Racquel Fygenson","Northeastern University"
"Program Committee","Remco Chang","Tufts University"
"Program Committee","Rik Ghosh",""
"Program Committee","Rupesh Vyas","Aalto University"
"Program Committee","Salomé Esteves","Renascença + Lisbon School of Architecture"
"Program Committee","Sarah Schöttler","University of Edinburgh"
"Program Committee","Shivam Raval","Harvard University"
"Program Committee","Smit Desai","Northeastern University"
"Program Committee","Stephen Boyd Davis","Royal College of Art, London"
"Program Committee","Susan Liao","New York University"
"Program Committee","Tatiana Losev","Simon Fraser University"
"Program Committee","Tiago Martins","University of Coimbra"
"Program Committee","Till Nagel","Technical University of Applied Sciences Mannheim"
"Program Committee","Tobias Kauer","Celonis"
"Program Committee","Vidya Setlur","Tableau Research"
"Program Committee","Wesley Willett","University of Calgary"
"Program Committee","Yanni Loukissas","Georgia Tech"
"Program Committee","Yoon Chung Han","San José State University"
"Program Committee","Zhu-Tian 竹天 Chen 陈","University of Minnesota"
"Program Committee","matt brehmer","university of waterloo"
"Program Committee","weidi zhang","Arizona State University"
"Advisors","Isabel Meirelles",""
"Advisors","Uta Hinrichs",""
"Advisors","Benjamin Bach",""
"Advisors","Marian Dörk",""
"Advisors","Dietmar Offenhuber",""
"Advisors","Estefania Ciliotta Chehade",""
"Local organization","Ashley Treni",""
"Students","Nehal Modi",""